ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to
TICK-1001,High,Open,Network,VPN Connection Failure,Multiple users unable to connect to VPN from remote locations,2024-01-15,,alice_admin
TICK-1002,Critical,In Progress,Security,Ransomware Alert,Suspected ransomware activity detected on file server,2024-01-16,,bob_user
TICK-1003,Medium,Resolved,Hardware,Printer Not Working,Color printer in Marketing department not responding,2024-01-14,2024-01-15,charlie_user
TICK-1004,Low,Closed,Software,Email Sync Issue,Outlook not syncing properly with Exchange server,2024-01-13,2024-01-14,alice_admin
TICK-1005,High,In Progress,Network,Slow Internet Speed,Entire building experiencing degraded network performance,2024-01-17,,bob_user
TICK-1006,Critical,Open,Security,Data Breach Investigation,Unauthorized access to customer database requires immediate attention,2024-01-18,,charlie_user
TICK-1007,Medium,Resolved,Software,Application Crash,CRM application crashing on startup for sales team,2024-01-16,2024-01-17,alice_admin
TICK-1008,Low,Closed,Hardware,Keyboard Replacement,Employee requests ergonomic keyboard replacement,2024-01-12,2024-01-13,bob_user
TICK-1009,High,Open,Network,Firewall Configuration,Need to open ports for new cloud service,2024-01-19,,charlie_user
TICK-1010,Medium,In Progress,Software,License Renewal,Adobe Creative Suite licenses expiring next week,2024-01-15,,alice_admin
TICK-1011,Critical,Open,Security,Phishing Attack,Mass phishing campaign targeting employees,2024-01-20,,bob_user
TICK-1012,Low,Resolved,Hardware,Monitor Flickering,Display issues on executive workstation,2024-01-17,2024-01-18,charlie_user
TICK-1013,High,In Progress,Network,WiFi Dead Zones,Poor WiFi coverage in conference rooms,2024-01-21,,alice_admin
TICK-1014,Medium,Closed,Software,Database Performance,SQL queries running slower than usual,2024-01-18,2024-01-20,bob_user
TICK-1015,Critical,Open,Security,Malware Outbreak,Multiple workstations infected with trojan,2024-01-22,,charlie_user
TICK-1016,Low,Resolved,Hardware,USB Port Failure,Front USB ports not working on desktop,2024-01-19,2024-01-21,alice_admin
TICK-1017,High,Open,Network,DNS Resolution Issues,Internal DNS server not resolving domain names,2024-01-23,,bob_user
TICK-1018,Medium,In Progress,Software,SharePoint Migration,Need to migrate files to new SharePoint environment,2024-01-20,,charlie_user
TICK-1019,Low,Closed,Hardware,Headset Replacement,Call center agent needs new headset,2024-01-21,2024-01-22,alice_admin
TICK-1020,Critical,In Progress,Security,DDoS Attack,Website under active distributed denial of service attack,2024-01-24,,bob_user
TICK-1021,High,Open,Network,Switch Failure,Network switch in Server Room B not responding,2024-01-25,,charlie_user
TICK-1022,Medium,Resolved,Software,Teams Call Quality,Poor audio/video quality in Microsoft Teams,2024-01-22,2024-01-24,alice_admin
TICK-1023,Low,Closed,Hardware,Mouse Not Working,Wireless mouse connectivity issues,2024-01-23,2024-01-24,bob_user
TICK-1024,High,In Progress,Network,Bandwidth Upgrade,Need to increase internet bandwidth for video conferencing,2024-01-26,,charlie_user
TICK-1025,Critical,Open,Security,Insider Threat,Suspicious file access patterns detected,2024-01-27,,alice_admin